|time| inM  |  instruction   |reset| outM  |writeM |addre| pc  |
|0+  |     0|0011000000111001|  0  |      0|   1   |    0|    0|
|1   |     0|0011000000111001|  0  |      0|   1   |12345|    1|
|1+  |     0|1110110000010000|  0  |      0|   0   |12345|    1|
|2   |     0|1110110000010000|  0  |      0|   0   |12345|    2|
|2+  |     0|0101101110100000|  0  |      1|   0   |12345|    2|
|3   |     0|0101101110100000|  0  |      1|   0   |23456|    3|
|3+  |     0|1110000111010000|  0  | -23457|   0   |23456|    3|
|4   |     0|1110000111010000|  0  |      0|   0   |23456|    4|
|4+  |     0|0000001111101000|  0  | -18623|   1   |23456|    4|
|5   |     0|0000001111101000|  0  |  24457|   1   | 1000|    5|
|5+  |     0|1110001100001000|  0  | -24458|   1   | 1000|    5|
|6   |     0|1110001100001000|  0  | -24458|   1   | 1000|    6|
|6+  |     0|0000001111101001|  0  |  24457|   1   | 1000|    6|
|7   |     0|0000001111101001|  0  |  24458|   1   | 1001| 1000|
|7+  |     0|1110001110011000|  0  |  24458|   1   | 1001| 1000|
|8   |     0|1110001110011000|  0  | -23457|   1   | 1001| 1001|
|8+  |     0|0000001111101000|  0  | -23457|   1   | 1001| 1001|
|9   |     0|0000001111101000|  0  | -23458|   1   | 1000| 1002|
|9+  | 11111|1111010011010000|  0  |     -1|   0   | 1000| 1002|
|10  | 11111|1111010011010000|  0  |     -1|   0   | 1000| 1003|
|10+ | 11111|0000000000001110|  0  |   1000|   1   | 1000| 1003|
|11  | 11111|0000000000001110|  0  |     14|   1   |   14| 1004|
|11+ | 11111|1110001100000100|  0  |    -16|   0   |   14| 1004|
|12  | 11111|1110001100000100|  0  |    -16|   0   |   14|   14|
|12+ | 11111|0000001111100111|  0  |     15|   0   |   14|   14|
|13  | 11111|0000001111100111|  0  |   1000|   0   |  999|   14|
|13+ | 11111|1110110111100000|  0  |     -1|   0   |  999|   14|
|14  | 11111|1110110111100000|  0  |     -1|   0   |32767|   15|
|14+ | 11111|1110001100001000|  0  |     -1|   1   |32767|   15|
|15  | 11111|1110001100001000|  0  |     -1|   1   |32767|   16|
|15+ | 11111|0000000000010101|  0  |     -1|   0   |32767|   16|
|16  | 11111|0000000000010101|  0  |     21|   0   |   21|32767|
|16+ | 11111|1110011111000010|  0  |      1|   0   |   21|32767|
|17  | 11111|1110011111000010|  0  |      1|   0   |   21|    0|
|17+ | 11111|0000000000000010|  0  |     21|   0   |   21|    0|
|18  | 11111|0000000000000010|  0  |      2|   0   |    2|    1|
|18+ | 11111|1110000010010000|  0  |     -3|   0   |    2|    1|
|19  | 11111|1110000010010000|  0  |     -1|   0   |    2|    2|
|19+ | 11111|0000001111101000|  0  |      5|   1   |    2|    2|
|20  | 11111|0000001111101000|  0  |   1003|   1   | 1000|    3|
|20+ | 11111|1110111010010000|  0  |     -3|   0   | 1000|    3|
|21  | 11111|1110111010010000|  0  |     -3|   0   | 1000|    4|
|21+ | 11111|1110001100000001|  0  |  -1004|   0   | 1000|    4|
|22  | 11111|1110001100000001|  0  |  -1004|   0   | 1000|    5|
|22+ | 11111|1110001100000010|  0  |  -1004|   0   | 1000|    5|
|23  | 11111|1110001100000010|  0  |  -1004|   0   | 1000|    6|
|23+ | 11111|1110001100000011|  0  |  -1004|   0   | 1000|    6|
|24  | 11111|1110001100000011|  0  |  -1004|   0   | 1000|    7|
|24+ | 11111|1110001100000100|  0  |  -1004|   0   | 1000|    7|
|25  | 11111|1110001100000100|  0  |  -1004|   0   | 1000| 1000|
|25+ | 11111|1110001100000101|  0  |  -1004|   0   | 1000| 1000|
|26  | 11111|1110001100000101|  0  |  -1004|   0   | 1000| 1000|
|26+ | 11111|1110001100000110|  0  |  -1004|   0   | 1000| 1000|
